(20,20,45903);(20,21,45904);(20,22,45913);(20,23,45914);(20,24,45923);(20,25,45924);(20,26,45933);(20,27,45934);(20,28,45943);(20,29,45944);(20,30,45953);(20,31,45954);(20,32,45963);(20,33,45964);(20,34,45973);(20,35,45974);(20,36,45983);(20,37,45984);(20,38,45993);(20,39,45994)
(21,20,45901);(21,21,45902);(21,22,45911);(21,23,45912);(21,24,45921);(21,25,45922);(21,26,45931);(21,27,45932);(21,28,45941);(21,29,45942);(21,30,45951);(21,31,45952);(21,32,45961);(21,33,45962);(21,34,45971);(21,35,45972);(21,36,45981);(21,37,45982);(21,38,45991);(21,39,45992)
(22,20,45803);(22,21,45804);(22,22,45813);(22,23,45814);(22,24,45823);(22,25,45824);(22,26,45833);(22,27,45834);(22,28,45843);(22,29,45844);(22,30,45853);(22,31,45854);(22,32,45863);(22,33,45864);(22,34,45873);(22,35,45874);(22,36,45883);(22,37,45884);(22,38,45893);(22,39,45894)
(23,20,45801);(23,21,45802);(23,22,45811);(23,23,45812);(23,24,45821);(23,25,45822);(23,26,45831);(23,27,45832);(23,28,45841);(23,29,45842);(23,30,45851);(23,31,45852);(23,32,45861);(23,33,45862);(23,34,45871);(23,35,45872);(23,36,45881);(23,37,45882);(23,38,45891);(23,39,45892)
(24,20,45703);(24,21,45704);(24,22,45713);(24,23,45714);(24,24,45723);(24,25,45724);(24,26,45733);(24,27,45734);(24,28,45743);(24,29,45744);(24,30,45753);(24,31,45754);(24,32,45763);(24,33,45764);(24,34,45773);(24,35,45774);(24,36,45783);(24,37,45784);(24,38,45793);(24,39,45794)
(25,20,45701);(25,21,45702);(25,22,45711);(25,23,45712);(25,24,45721);(25,25,45722);(25,26,45731);(25,27,45732);(25,28,45741);(25,29,45742);(25,30,45751);(25,31,45752);(25,32,45761);(25,33,45762);(25,34,45771);(25,35,45772);(25,36,45781);(25,37,45782);(25,38,45791);(25,39,45792)
(26,20,45603);(26,21,45604);(26,22,45613);(26,23,45614);(26,24,45623);(26,25,45624);(26,26,45633);(26,27,45634);(26,28,45643);(26,29,45644);(26,30,45653);(26,31,45654);(26,32,45663);(26,33,45664);(26,34,45673);(26,35,45674);(26,36,45683);(26,37,45684);(26,38,45693);(26,39,45694)
(27,20,45601);(27,21,45602);(27,22,45611);(27,23,45612);(27,24,45621);(27,25,45622);(27,26,45631);(27,27,45632);(27,28,45641);(27,29,45642);(27,30,45651);(27,31,45652);(27,32,45661);(27,33,45662);(27,34,45671);(27,35,45672);(27,36,45681);(27,37,45682);(27,38,45691);(27,39,45692)
(28,20,45503);(28,21,45504);(28,22,45513);(28,23,45514);(28,24,45523);(28,25,45524);(28,26,45533);(28,27,45534);(28,28,45543);(28,29,45544);(28,30,45553);(28,31,45554);(28,32,45563);(28,33,45564);(28,34,45573);(28,35,45574);(28,36,45583);(28,37,45584);(28,38,45593);(28,39,45594)
(29,20,45501);(29,21,45502);(29,22,45511);(29,23,45512);(29,24,45521);(29,25,45522);(29,26,45531);(29,27,45532);(29,28,45541);(29,29,45542);(29,30,45551);(29,31,45552);(29,32,45561);(29,33,45562);(29,34,45571);(29,35,45572);(29,36,45581);(29,37,45582);(29,38,45591);(29,39,45592)
(30,20,45403);(30,21,45404);(30,22,45413);(30,23,45414);(30,24,45423);(30,25,45424);(30,26,45433);(30,27,45434);(30,28,45443);(30,29,45444);(30,30,45453);(30,31,45454);(30,32,45463);(30,33,45464);(30,34,45473);(30,35,45474);(30,36,45483);(30,37,45484);(30,38,45493);(30,39,45494)
(31,20,45401);(31,21,45402);(31,22,45411);(31,23,45412);(31,24,45421);(31,25,45422);(31,26,45431);(31,27,45432);(31,28,45441);(31,29,45442);(31,30,45451);(31,31,45452);(31,32,45461);(31,33,45462);(31,34,45471);(31,35,45472);(31,36,45481);(31,37,45482);(31,38,45491);(31,39,45492)
(32,20,45303);(32,21,45304);(32,22,45313);(32,23,45314);(32,24,45323);(32,25,45324);(32,26,45333);(32,27,45334);(32,28,45343);(32,29,45344);(32,30,45353);(32,31,45354);(32,32,45363);(32,33,45364);(32,34,45373);(32,35,45374);(32,36,45383);(32,37,45384);(32,38,45393);(32,39,45394)
(33,20,45301);(33,21,45302);(33,22,45311);(33,23,45312);(33,24,45321);(33,25,45322);(33,26,45331);(33,27,45332);(33,28,45341);(33,29,45342);(33,30,45351);(33,31,45352);(33,32,45361);(33,33,45362);(33,34,45371);(33,35,45372);(33,36,45381);(33,37,45382);(33,38,45391);(33,39,45392)
(34,20,45203);(34,21,45204);(34,22,45213);(34,23,45214);(34,24,45223);(34,25,45224);(34,26,45233);(34,27,45234);(34,28,45243);(34,29,45244);(34,30,45253);(34,31,45254);(34,32,45263);(34,33,45264);(34,34,45273);(34,35,45274);(34,36,45283);(34,37,45284);(34,38,45293);(34,39,45294)
(35,20,45201);(35,21,45202);(35,22,45211);(35,23,45212);(35,24,45221);(35,25,45222);(35,26,45231);(35,27,45232);(35,28,45241);(35,29,45242);(35,30,45251);(35,31,45252);(35,32,45261);(35,33,45262);(35,34,45271);(35,35,45272);(35,36,45281);(35,37,45282);(35,38,45291);(35,39,45292)
(36,20,45103);(36,21,45104);(36,22,45113);(36,23,45114);(36,24,45123);(36,25,45124);(36,26,45133);(36,27,45134);(36,28,45143);(36,29,45144);(36,30,45153);(36,31,45154);(36,32,45163);(36,33,45164);(36,34,45173);(36,35,45174);(36,36,45183);(36,37,45184);(36,38,45193);(36,39,45194)
(37,20,45101);(37,21,45102);(37,22,45111);(37,23,45112);(37,24,45121);(37,25,45122);(37,26,45131);(37,27,45132);(37,28,45141);(37,29,45142);(37,30,45151);(37,31,45152);(37,32,45161);(37,33,45162);(37,34,45171);(37,35,45172);(37,36,45181);(37,37,45182);(37,38,45191);(37,39,45192)
(38,20,45003);(38,21,45004);(38,22,45013);(38,23,45014);(38,24,45023);(38,25,45024);(38,26,45033);(38,27,45034);(38,28,45043);(38,29,45044);(38,30,45053);(38,31,45054);(38,32,45063);(38,33,45064);(38,34,45073);(38,35,45074);(38,36,45083);(38,37,45084);(38,38,45093);(38,39,45094)
(39,20,45001);(39,21,45002);(39,22,45011);(39,23,45012);(39,24,45021);(39,25,45022);(39,26,45031);(39,27,45032);(39,28,45041);(39,29,45042);(39,30,45051);(39,31,45052);(39,32,45061);(39,33,45062);(39,34,45071);(39,35,45072);(39,36,45081);(39,37,45082);(39,38,45091);(39,39,45092)
